start,end,audio_sensor,file
0,550000,1,audio_sensor_1_sample_0.wav
1875000,2900000,1,audio_sensor_1_sample_1.wav
2925000,3125000,1,audio_sensor_1_sample_2.wav
3400000,3675000,1,audio_sensor_1_sample_3.wav
3725000,3975000,1,audio_sensor_1_sample_4.wav
4175000,4400000,1,audio_sensor_1_sample_5.wav
5025000,5200000,1,audio_sensor_1_sample_6.wav
6700000,6875000,1,audio_sensor_1_sample_7.wav
7125000,7300000,1,audio_sensor_1_sample_8.wav
7350000,7525000,1,audio_sensor_1_sample_9.wav
11125000,11300000,1,audio_sensor_1_sample_10.wav
12525000,12700000,1,audio_sensor_1_sample_11.wav
14100000,14275000,1,audio_sensor_1_sample_12.wav
14475000,14700000,1,audio_sensor_1_sample_13.wav
15150000,15325000,1,audio_sensor_1_sample_14.wav
15725000,15900000,1,audio_sensor_1_sample_15.wav
17550000,17750000,1,audio_sensor_1_sample_16.wav
19350000,19525000,1,audio_sensor_1_sample_17.wav
20325000,20550000,1,audio_sensor_1_sample_18.wav
20575000,21175000,1,audio_sensor_1_sample_19.wav
21225000,21775000,1,audio_sensor_1_sample_20.wav
21800000,23850000,1,audio_sensor_1_sample_21.wav
23900000,24075000,1,audio_sensor_1_sample_22.wav
24275000,24475000,1,audio_sensor_1_sample_23.wav
24625000,25150000,1,audio_sensor_1_sample_24.wav
25175000,25550000,1,audio_sensor_1_sample_25.wav
25975000,26150000,1,audio_sensor_1_sample_26.wav
27725000,27900000,1,audio_sensor_1_sample_27.wav
28075000,31275000,1,audio_sensor_1_sample_28.wav
31300000,31525000,1,audio_sensor_1_sample_29.wav
35500000,35675000,1,audio_sensor_1_sample_30.wav
36425000,36600000,1,audio_sensor_1_sample_31.wav
37125000,37300000,1,audio_sensor_1_sample_32.wav
39650000,39825000,1,audio_sensor_1_sample_33.wav
40225000,40400000,1,audio_sensor_1_sample_34.wav
40800000,41000000,1,audio_sensor_1_sample_35.wav
41500000,44425000,1,audio_sensor_1_sample_36.wav
44725000,44900000,1,audio_sensor_1_sample_37.wav
45000000,45175000,1,audio_sensor_1_sample_38.wav
0,500000,2,audio_sensor_2_sample_0.wav
2000000,3075000,2,audio_sensor_2_sample_1.wav
3400000,3650000,2,audio_sensor_2_sample_2.wav
3725000,3975000,2,audio_sensor_2_sample_3.wav
4175000,4375000,2,audio_sensor_2_sample_4.wav
5025000,5200000,2,audio_sensor_2_sample_5.wav
6700000,6875000,2,audio_sensor_2_sample_6.wav
7125000,7300000,2,audio_sensor_2_sample_7.wav
8525000,8700000,2,audio_sensor_2_sample_8.wav
11125000,11300000,2,audio_sensor_2_sample_9.wav
12525000,12700000,2,audio_sensor_2_sample_10.wav
14100000,14275000,2,audio_sensor_2_sample_11.wav
14475000,14675000,2,audio_sensor_2_sample_12.wav
15150000,15325000,2,audio_sensor_2_sample_13.wav
15725000,15900000,2,audio_sensor_2_sample_14.wav
17550000,17750000,2,audio_sensor_2_sample_15.wav
19350000,19525000,2,audio_sensor_2_sample_16.wav
20325000,20550000,2,audio_sensor_2_sample_17.wav
20575000,23975000,2,audio_sensor_2_sample_18.wav
24125000,24350000,2,audio_sensor_2_sample_19.wav
24600000,24975000,2,audio_sensor_2_sample_20.wav
25200000,25550000,2,audio_sensor_2_sample_21.wav
27725000,27900000,2,audio_sensor_2_sample_22.wav
28075000,30900000,2,audio_sensor_2_sample_23.wav
30925000,31400000,2,audio_sensor_2_sample_24.wav
33875000,34050000,2,audio_sensor_2_sample_25.wav
35500000,35675000,2,audio_sensor_2_sample_26.wav
36150000,36325000,2,audio_sensor_2_sample_27.wav
36425000,36600000,2,audio_sensor_2_sample_28.wav
37125000,37300000,2,audio_sensor_2_sample_29.wav
39650000,39825000,2,audio_sensor_2_sample_30.wav
40225000,40400000,2,audio_sensor_2_sample_31.wav
40800000,40975000,2,audio_sensor_2_sample_32.wav
41500000,44400000,2,audio_sensor_2_sample_33.wav
44725000,44900000,2,audio_sensor_2_sample_34.wav
45000000,45175000,2,audio_sensor_2_sample_35.wav
0,550000,3,audio_sensor_3_sample_0.wav
2000000,3075000,3,audio_sensor_3_sample_1.wav
3400000,3975000,3,audio_sensor_3_sample_2.wav
4150000,4475000,3,audio_sensor_3_sample_3.wav
5025000,5200000,3,audio_sensor_3_sample_4.wav
6700000,6875000,3,audio_sensor_3_sample_5.wav
7125000,7300000,3,audio_sensor_3_sample_6.wav
8525000,8700000,3,audio_sensor_3_sample_7.wav
11125000,11300000,3,audio_sensor_3_sample_8.wav
12525000,12700000,3,audio_sensor_3_sample_9.wav
14100000,14275000,3,audio_sensor_3_sample_10.wav
14475000,14700000,3,audio_sensor_3_sample_11.wav
15150000,15325000,3,audio_sensor_3_sample_12.wav
15725000,15900000,3,audio_sensor_3_sample_13.wav
17550000,17750000,3,audio_sensor_3_sample_14.wav
19350000,19525000,3,audio_sensor_3_sample_15.wav
20325000,20550000,3,audio_sensor_3_sample_16.wav
20600000,21100000,3,audio_sensor_3_sample_17.wav
21125000,21775000,3,audio_sensor_3_sample_18.wav
21800000,23850000,3,audio_sensor_3_sample_19.wav
23900000,24075000,3,audio_sensor_3_sample_20.wav
24275000,24475000,3,audio_sensor_3_sample_21.wav
24675000,25150000,3,audio_sensor_3_sample_22.wav
25200000,25525000,3,audio_sensor_3_sample_23.wav
25975000,26150000,3,audio_sensor_3_sample_24.wav
27725000,27900000,3,audio_sensor_3_sample_25.wav
28075000,31275000,3,audio_sensor_3_sample_26.wav
31300000,31500000,3,audio_sensor_3_sample_27.wav
31825000,32000000,3,audio_sensor_3_sample_28.wav
33875000,34050000,3,audio_sensor_3_sample_29.wav
35500000,35675000,3,audio_sensor_3_sample_30.wav
36425000,36600000,3,audio_sensor_3_sample_31.wav
37125000,37300000,3,audio_sensor_3_sample_32.wav
39650000,39825000,3,audio_sensor_3_sample_33.wav
40225000,40400000,3,audio_sensor_3_sample_34.wav
40600000,40775000,3,audio_sensor_3_sample_35.wav
40800000,41000000,3,audio_sensor_3_sample_36.wav
41500000,44400000,3,audio_sensor_3_sample_37.wav
44725000,44900000,3,audio_sensor_3_sample_38.wav
45000000,45175000,3,audio_sensor_3_sample_39.wav
0,575000,4,audio_sensor_4_sample_0.wav
1975000,3075000,4,audio_sensor_4_sample_1.wav
3400000,3950000,4,audio_sensor_4_sample_2.wav
4150000,4425000,4,audio_sensor_4_sample_3.wav
5025000,5200000,4,audio_sensor_4_sample_4.wav
6700000,6875000,4,audio_sensor_4_sample_5.wav
7125000,7300000,4,audio_sensor_4_sample_6.wav
7350000,7525000,4,audio_sensor_4_sample_7.wav
11125000,11300000,4,audio_sensor_4_sample_8.wav
12525000,12700000,4,audio_sensor_4_sample_9.wav
14100000,14275000,4,audio_sensor_4_sample_10.wav
14475000,14700000,4,audio_sensor_4_sample_11.wav
15150000,15325000,4,audio_sensor_4_sample_12.wav
15725000,15900000,4,audio_sensor_4_sample_13.wav
17550000,17750000,4,audio_sensor_4_sample_14.wav
19350000,19525000,4,audio_sensor_4_sample_15.wav
20325000,20575000,4,audio_sensor_4_sample_16.wav
20600000,23850000,4,audio_sensor_4_sample_17.wav
23875000,24075000,4,audio_sensor_4_sample_18.wav
24125000,24325000,4,audio_sensor_4_sample_19.wav
24700000,25425000,4,audio_sensor_4_sample_20.wav
25500000,25675000,4,audio_sensor_4_sample_21.wav
25975000,26150000,4,audio_sensor_4_sample_22.wav
27725000,27900000,4,audio_sensor_4_sample_23.wav
28075000,31300000,4,audio_sensor_4_sample_24.wav
31325000,31550000,4,audio_sensor_4_sample_25.wav
31825000,32000000,4,audio_sensor_4_sample_26.wav
35500000,35675000,4,audio_sensor_4_sample_27.wav
36425000,36600000,4,audio_sensor_4_sample_28.wav
37125000,37300000,4,audio_sensor_4_sample_29.wav
39650000,39825000,4,audio_sensor_4_sample_30.wav
40225000,40400000,4,audio_sensor_4_sample_31.wav
40800000,41000000,4,audio_sensor_4_sample_32.wav
41500000,44400000,4,audio_sensor_4_sample_33.wav
44725000,44900000,4,audio_sensor_4_sample_34.wav
45000000,45175000,4,audio_sensor_4_sample_35.wav
